date,value
10/28/2005,4656130000000
10/27/2005,4648390000000
10/26/2005,4634890000000
10/25/2005,4634450000000
10/24/2005,4633570000000
10/21/2005,4633780000000
10/20/2005,4633680000000
10/19/2005,4625900000000
10/18/2005,4625430000000
10/17/2005,4624110000000
10/14/2005,4616590000000
10/13/2005,4616370000000
10/12/2005,4612150000000
10/11/2005,4611370000000
10/7/2005,4610910000000
10/6/2005,4611340000000
10/5/2005,4599800000000
10/4/2005,4598980000000
10/3/2005,4599130000000
9/30/2005,4601240000000
9/29/2005,4606270000000
9/28/2005,4612720000000
9/27/2005,4612390000000
9/26/2005,4611480000000
9/23/2005,4611350000000
9/22/2005,4611300000000
9/21/2005,4620740000000
9/20/2005,4620390000000
9/19/2005,4619990000000
9/16/2005,4619850000000
9/15/2005,4619750000000
9/14/2005,4647640000000
9/13/2005,4655250000000
9/12/2005,4654520000000
9/9/2005,4654600000000
9/8/2005,4654500000000
9/7/2005,4650050000000
9/6/2005,4648290000000
9/2/2005,4648560000000
9/1/2005,4628360000000
8/31/2005,4614280000000
8/30/2005,4618920000000
8/29/2005,4618260000000
8/26/2005,4618340000000
8/25/2005,4618270000000
8/24/2005,4615280000000
8/23/2005,4614120000000
8/22/2005,4614040000000
8/19/2005,4614010000000
8/18/2005,4614070000000
8/17/2005,4610660000000
8/16/2005,4608930000000
8/15/2005,4607530000000
8/12/2005,4583660000000
8/11/2005,4583720000000
8/10/2005,4582010000000
8/9/2005,4581140000000
8/8/2005,4580880000000
8/5/2005,4580710000000
8/4/2005,4580790000000
8/3/2005,4575040000000
8/2/2005,4574360000000
8/1/2005,4573710000000
7/29/2005,4580780000000
7/28/2005,4574950000000
7/27/2005,4564520000000
7/26/2005,4563810000000
7/25/2005,4562620000000
7/22/2005,4562510000000
7/21/2005,4562180000000
7/20/2005,4553470000000
7/19/2005,4552670000000
7/18/2005,4552110000000
7/15/2005,4552270000000
7/14/2005,4548590000000
7/13/2005,4541200000000
7/12/2005,4540680000000
7/11/2005,4538840000000
7/8/2005,4538870000000
7/7/2005,4538830000000
7/6/2005,4541600000000
7/5/2005,4540540000000
7/1/2005,4540420000000
6/30/2005,4527700000000
6/29/2005,4544820000000
6/28/2005,4543790000000
6/27/2005,4543030000000
6/24/2005,4542290000000
6/23/2005,4542200000000
6/22/2005,4558480000000
6/21/2005,4558140000000
6/20/2005,4557360000000
6/17/2005,4557820000000
6/16/2005,4557840000000
6/15/2005,4565930000000
6/14/2005,4582220000000
6/13/2005,4581780000000
6/10/2005,4581670000000
6/9/2005,4581580000000
6/8/2005,4580290000000
